Dia da Feira,Categoria,Qnt. Feirantes,Nome da Feira,Endereco,Bairro
SEX,TRADICIONAL,108,PARQUE TIETE,"RUA SAO FRANCISCO DO HUMAITA","PQ TIETE"
SAB,TRADICIONAL,43,ITABERABA,"RUA DOS SITIANTES","LIMAO"
SÁB,TRADICIONAL,61,VILA GONCALVES,"RUA DR JOSE DE QUEIROS MATOSO","VILA GONCALVES"
SÁB,TRADICIONAL,23,MORRO GRANDE,"RUA MARIA NAZARO DA SILVA","VL BRASILANDIA"
SÁB,TRADICIONAL,99,MUNIZ BARRETO,"RUA HELCIO DA SILVA","VL BRASILANDIA"
SÁB,TRADICIONAL,25,JARDIM ANA MARIA,"RUA JAIRO PINTO ARAUJO","JD ANA MARIA"
SÁB,TRADICIONAL,13,JARDIM BRASILIA,"RUA ALEXANDRE SILVA","JARDIM BRASILIA"
DOM,TRADICIONAL,87,GUAIANAZES,"RUA COUTINHO E MELO","GUAIANAZES"
DOM,TRADICIONAL,47,COHAB-JUSCELINO KUBTSCHECK,"AV UTARO ΚΑΝΑΙ C/ FESTA CHINESA","JD SAO PAULO"
DOM,TRADICIONAL,20,JARDIM SAO PAULO,"RUA JERONIMO DIAS RIBEIRO","JARDIM SAO PAULO"
DOM,TRADICIONAL,0,CDHU CONJUNTO HAB GUAIANASES,"RUA B-10","CIDADE TIRADENTES"
DOM,TRADICIONAL,12,JARDIM FRANGANIELO,"RUA GASPAR SARDINHA","LAGEADO"
DOM,TRADICIONAL,0,VILA IOLANDA,"RUA JOAO DE SIQUEIRA AFONSO","LAGEADO"
TER,TRADICIONAL,20,VILA PRINCESA ISABEL,"RUA COMTE CARLOS RHUL","VL PRINCESA ISABEL"
QUA,TRADICIONAL,126,GUAIANAZES,"PC ANDES","GUAIANAZES"
QUA,TRADICIONAL,17,JARDIM SAO PAULO,"AV UTARO ΚΑΝΑΙ C/ FESTA CHINESA","JD SAO PAULO"
QUA,TRADICIONAL,14,JARDIM SOARES,"RUA INACIO MOREIRA","JARDIM SOARES"
QUI,TRADICIONAL,18,JARDIM SAO PAULO,"RUA IDEAL","JD SAO PAULO"
QUI,NOTURNA,17,RIBEIRAO ITAQUERA,"AV RIBEIRAO ITAQUERA","GUAIANAZES"
SEX,TRADICIONAL,18,JARDIM SAO PAULO,"RUA ALVARO DA COSTA","JARDIM SAO PAULO"
SAB,TRADICIONAL,98,JARDIM CELIA,"RUA JOAQUIM MIGUEL DUTRA","JD CELIA"
SAB,TRADICIONAL,25,VILA SAO GERALDO,"RUA CAMARGO LEME","VL SAO GERALDO"
SÁB,TRADICIONAL,14,LAJEADO,"RUA JOSE MARTINS DOS SANTOS","LAJEADO"
SÁB,TRADICIONAL,10,VILA PRINCESA ISABEL,"RUA IRMAO DEODORO","VILA PRINCESA ISABEL"
SÁB,TRADICIONAL,12,RODOLFO ALBINO SILVA,"RUA RODOLFO ALBINO SILVA","GUAINAZES"
SÁB,TRADICIONAL,35,CONJUNTO JK,"AV UTARO ΚΑΝΑΙ C/ FESTA CHINESA","JARDIM SAO PAULO"
DOM,TRADICIONAL,99,COHAB CIDADE TIRADENTES,"RUA PADRE ALDEMAR MOREIRA","STA ETELVINA"
DOM,TRADICIONAL,9,COHAB-TIRADENTES I,"RUA BARTOLINO DE PADUA","ITAQUERA"
DOM,TRADICIONAL,114,CONJUNTO STA. ETELVINA,"AV NASCER DO SOL","STA ETELVINA COHAB"
DOM,TRADICIONAL,43,COHAB SITIO CONCEICAO,"RUA WILSON FERNANDES S CARVALHO","CID TIRADENTES"
DOM,TRADICIONAL,23,CONJ HABIT FAZENDA DO CARMO,"AV HENRIQUETA NOGUEZ BRIEBA","CJ HAB FAZENDA DO CA"
DOM,TRADICIONAL,36,VILA YOLANDA II,"RUA DR ADEMAR FERREIRA DE CARVALI","VILA YOLANDA II"
QUA,TRADICIONAL,86,SANTA ETELVINA,"AV LUIS JOSE COSTA (LEANDRO)","CID TIRADENTES COHA"
QUA,TRADICIONAL,67,CIDADE TIRADENTES SETOR G,"RUA MOISES DE CORENA","CID TIRADENTES"
QUI,TRADICIONAL,19,COHAB-TIRADENTES II,"AV DOS TEXTEIS","ITAQUERA"
SEX,TRADICIONAL,158,CONJ RESID DE GUAIANAZES,"AV DR GUILHERME DE ABREU SODRE","GUAIANAZES COHAB"
SEX,TRADICIONAL,43,CIDADE TIRADENTES,"RUA DONA ELOA DO VALLE QUADROS","CID TIRADENTES"
SAB,TRADICIONAL,52,CASTRO ALVES,"RUA CORACAO DE MACA","TIRADENTES COHAB"
SAB,TRADICIONAL,33,COHAB SANTA ETELVINA IIA,"AV NASCER DO SOL","STA ETELVINA COHAB"
SAB,TRADICIONAL,82,CIDADE TIRADENTES,"RUA CRISTIANO LOBE","CID TIRADENTES COHA"
DOM,TRADICIONAL,75,IPIRANGA,"RUA AGOSTINHO GOMES","IPIRANGA"
DOM,TRADICIONAL,25,VILA SAO JOSE,"RUA OLIVEIRA MELO","VL SAO JOSE"
DOM,TRADICIONAL,53,JARDIM PREVIDENCIA,"AV INHAIBA","MOINHO VELHO"
DOM,TRADICIONAL,80,CASTELO BRANCO,"RUA ASSUNGUI C/ AMERICO RIBEIRO","VL GUMERCINDO"
DOM,TRADICIONAL,33,JARDIM DA SAUDE,"PC BRAS GONCALVES","JD DA SAUDE"
DOM,TRADICIONAL,37,VILA CRISTALIA,"RUA ANTONIO LAMAS","VL CRISTALIA"
DOM,TRADICIONAL,38,VILA INDEPENDENCIA,"LG LEON DE TOLSTOI C/ ANY","VL INDEPENDENCIA"
DOM,TRADICIONAL,37,CONJ RES HELIOPOLIS,"RUA FREIRE BRAYNER","SACOMA"
DOM,TRADICIONAL,8,PARQUE BRISTOL,"RUA PROF ARNALDO JOAO SEMERARO","PARQUE BRISTOL"
TER,TRADICIONAL,64,ALTO DO IPIRANGA,"RUA XAVIER DE ALMEIDA","ALTO DO IPIRANGA"
TER,TRADICIONAL,78,VILA DAS MERCES,"RUA BRIG AMILCAR V PEDERNEIRAS","VL DAS MERCES"
TER,TRADICIONAL,52,AGUA FUNDA,"RUA MARIO SCHIOPA","AGUA FUNDA"
TER,TRADICIONAL,18,PORONGABA,"RUA MATIAS TEIXEIRA","BOSQUE DA SAUDE"
TER,TRADICIONAL,47,SANTA EULALIA,"RUA MONTE ALVERNE","VL STA EULALIA"
TER,TRADICIONAL,18,VILA ARAPUA,"RUA RIZZIERI NEGRINI","VL ARAPUA"
TER,NOTURNA,2,FEIRA LIVRE SANTA EMILIA,"RUA HENRI CROSS","JD SANTA EMILIA"
QUA,TRADICIONAL,79,VILA MONUMENTO,"RUA GUINLE C/ FREDERICO V MARTIUS","VL MONUMENTO"
QUA,TRADICIONAL,17,CERRACAO,"RUA LINO GUEDES","MOINHO VELHO"
QUA,TRADICIONAL,111,SAO JOAO CLIMACO,"RUA JAPARATUBA","SAO JOAO CLIMACO"
QUA,TRADICIONAL,87,SANTA ANGELA,"RUA CEL FAWCETT C/ EVOLUCAO","VL MORAES"
QUA,TRADICIONAL,12,SUSSUARAMA,"RUA CINCO DE JULHO","VL NAIR"
QUA,TRADICIONAL,37,VILA VERA,"AV CEL JOSE PIRES DE ANDRADE","VL VERA"
QUA,TRADICIONAL,31,JARDIM LEAR,"RUA JOSE ANTONIO VALADARES","JD LEAR"
QUI,NOTURNA,2,FRANCISCO LEMA,"RUA FRANCISCO LEMA","JARDIM APURA"
QUI,TRADICIONAL,92,IPIRANGA,"RUA DR MARIO VICENTE","IPIRANGA"
QUI,TRADICIONAL,110,SACOMA,"RUA LINO COUTINHO","SACOMA"
QUI,TRADICIONAL,44,AURI VERDE,"RUA CAMPANTE","VL CARIOCA"
QUI,TRADICIONAL,31,JAGUARI,"PC BRAS GONCALVES","JD DA SAUDE"
QUI,TRADICIONAL,38,MARIA ESTELA,"PC DR CURADO FLEURY","JD MARIA ESTELA"
QUI,TRADICIONAL,15,SANTA CRUZ,"RUA JOSE COCCIUFFO","ALTO DO IPIRANGA"
QUI,TRADICIONAL,4,IPIRANGA,"PC PEDRO BALINT","IPIRANGA"
SEX,TRADICIONAL,28,TEREZA CRISTINA,"RUA COSTA AGUIAR","IPIRANGA"
SEX,TRADICIONAL,62,VILA GUMERCINDO,"RUA DOM ANTONIO ALVARENGA","VL GUMERCINDO"
SEX,TRADICIONAL,70,VILA DOS QUARENTA,"RUA ANGATURAMA","VL DAS MERCES"
SEX,TRADICIONAL,15,VILA BANDEIRANTES,"RUA PROF RAUL PEDERNEIRAS","VL CONDE DO PINHAL"
SEX,TRADICIONAL,72,JARDIM PATENTE,"AV PATENTE","JD PATENTE"
SEX,TRADICIONAL,42,VILA OLIVIERI,"RUA CLAUDIO FERREIRA MANOEL","VL OLIVIERI"
SEX,TRADICIONAL,38,PARQUE BRISTOL,"AV JOSE CAETANO DA ROCHA","PQ BRISTOL"
SAB,TRADICIONAL,100,SACOMA,"RUA AMERICO SAMARONE","SACOMA"
SAB,TRADICIONAL,124,VILA MORAES,"RUA DIVINOPOLIS C/ NSA DA SAUDE","VL MORAES"
SÁB,TRADICIONAL,55,VILA NAIR,"RUA DONA LEOPOLDINA","VL NAIR"
SÁB,TRADICIONAL,50,VILA CARIOCA,"RUA ALBINO DE MORAES","VL CARIOCA"
SÁB,TRADICIONAL,37,JARDIM BOTUCATU,"RUA DR EUGENIO EGAS","JD CLIMAX"
SÁB,TRADICIONAL,49,JARDIM TROPICAL,"RUA ENG JOSE BUENO BICALHO","JD TROPICAL"
SÁB,TRADICIONAL,18,SAO SAVERIO,"RUA CANCAO DO EXILIO","SACOMA"
SÁB,TRADICIONAL,14,VILA HELIOPOLIS,"RUA EMBU DE HELIOPOLIS","HELIOPOLIS"
SÁB,TRADICIONAL,16,JARDIM MARIA ESTELA,"PC PROF JAIME POGGI","JARDIM MARIA ESTELA"
SÁB,TRADICIONAL,9,SANTO ANTONIO DE CATEGERO,"RUA SANTO ANTONIO DE CATEGERO","VILA NATALIA"
DOM,TRADICIONAL,73,JARDIM CAMARGO,"RUA VALENTE DE NOVAES","JD CAMARGO"
DOM,TRADICIONAL,70,CAMARGO VELHO,"AV ACADEMIA DE SAO PAULO","JD CAMARGO NOVO"
DOM,TRADICIONAL,74,JARDIM ROBRU,"RUA BENEDITO DE SOUZA BORGES","JD ROBRU"
DOM,TRADICIONAL,112,JARDIM NAZARE,"RUA AUGUSTO ALBERECI","JD NAZARE"
DOM,TRADICIONAL,44,PARQUE SANTA RITA,"RUA TEODORO BERNARDO DO NASCIMI","PQ STA RITA"
DOM,TRADICIONAL,106,DESEMBARGADOR ISNARD DOS REIS,"RUA DESEM ISNARD DOS REIS","ITAIM PAULISTA"
DOM,TRADICIONAL,9,CDHU ITAIM PAULISTA,"RUA LINARIA","ITAIM PAULISTA"
TER,TRADICIONAL,55,VILA CURUCA,"RUA IVOTURUCAIA","VL CURUCA VELHA"
TER,TRADICIONAL,28,VILA ALABAMA,"AV ITAIM","ITAIM PAULISTA"
TER,TRADICIONAL,62,JARDIM CAMPOS,"RUA LAGOA CAJUBA","JD CAMPOS"
TER,TRADICIONAL,11,VILA NOVA CURUCA,"RUA ARVORE DE CERA","JD NOVA CURUCA"
TER,TRADICIONAL,1,KEMEL ADDAS,"RUA DESEM FAUSTO WHITAKER M ALVI","ITAIM PAULISTA"
QUA,TRADICIONAL,67,PROGRESSO,"AV JOSE BORGES DO CANTO","JD CAMARGO VELHO"
QUA,TRADICIONAL,1,JARDIM NAZARE II,"RUA JOSE GREEF BORBA","JD NAZARE"
QUA,TRADICIONAL,43,VILA ITAIM,"AV ITAIM","VL ITAIM"
QUA,TRADICIONAL,21,JARDIM GIANETTI,"RUA GUABIROBA DE MINAS","JD GIANETTI"
QUA,TRADICIONAL,0,KEMEL ADDAS,"RUA DESEM FAUSTO WHITAKER M ALVI","ITAIM PAULISTA"
QUI,TRADICIONAL,83,ITAIM,"RUA VEREDA DO PARAISO","ITAIM PAULISTA"
QUI,TRADICIONAL,35,VILA NOVA CURUCA,"RUA ΑΝΑΝΑΙ","VL NOVA CURACA"
QUI,TRADICIONAL,75,JARDIM MILIUNAS,"RUA MONSENHOR SALIM","JD MILIUNAS"
QUI,TRADICIONAL,39,JARDIM ROBRU,"RUA JOAO BARBOSA DE LIMA","JD ROBRU"
QUI,TRADICIONAL,46,JARDIM CAMARGO NOVO,"RUA CANAL DE TUTOIA","JD CAMARGO NOVO"
SEX,TRADICIONAL,48,PARQUE SANTA RITA,"RUA ANAJATUBA","PQ STA RITA"
SEX,TRADICIONAL,147,FLAMINGO,"AV FLAMINGO","VL CURUCA NOVA"
SEX,TRADICIONAL,67,CONJ HABIT PADRE NILDO,"RUA ARACARANA","VL SAO JOSE"
SAB,TRADICIONAL,155,JARDIM SILVA TELLES,"RUA CARAIPE DAS AGUAS","JD DOS IPES"
SAB,TRADICIONAL,95,JARDIM DAS OLIVEIRAS,"RUA MONSENHOR SALIM","JD DAS OLIVEIRAS"
SÁB,TRADICIONAL,73,JARDIM NELIA,"RUA ANASTACIO TRANCOSO","JD NELIA"
SÁB,TRADICIONAL,35,CONJUNTO CDHU CAMARGO VELHO,"RUA DA CONQUISTA-G","CDHU CAMARGO VELH"
DOM,TRADICIONAL,102,ITAQUERA,"RUA KEN SUGAYA","ITAQUERA"
DOM,TRADICIONAL,100,ANCHIETA,"RUA PALMEIRA LACA","JD ELIANE"
DOM,TRADICIONAL,102,PARQUE GUARANI,"RUA FLOR DE CABOCLO","PQ GUARANI"
DOM,TRADICIONAL,62,JARDIM NOVA BRASILIA,"RUA JASMIM DA ESPANHA","JD BRASILIA"
DOM,TRADICIONAL,32,SAVOY CITY,"RUA XAVIER PALMERIM","PQ SAVOY CITY"
DOM,TRADICIONAL,72,COHAB II,"PC BOM PASTOR","ITAQUERA"
DOM,TRADICIONAL,38,TERRA BRASILEIRA,"RUA TERRA BRASILEIRA","VL SUICA"
DOM,TRADICIONAL,84,ITAQUERA II,"RUA LAURA BOSS","GUAIANASES"
DOM,TRADICIONAL,20,CONJUNTO A E CARVALHO,"RUA ANDRE CAVALCANTE","VILA REGINA"
TER,TRADICIONAL,51,JARDIM NOSSA SENHORA DO CARMO,"RUA ESTEVAO DIAS VERGARA","JD NSRA DO CARMO"
TER,TRADICIONAL,62,COHAB III,"RUA FREI ANTONIO FAGGIAΝΟ","ITAQUERA"
TER,TRADICIONAL,31,JARDIM RUTH,"RUA FLOR DE PELICANO","JD CASA PINTADA"
TER,NOTURNA,4,RAINHA DA NOITE,"RUA RODOLFO BARBOSA DE CASTRO","PARQUE GUARANI"
QUA,TRADICIONAL,73,VERDE,"RUA FLOR DE SANTA CRUZ","VL VERDE"
QUA,TRADICIONAL,43,JARDIM ARIZI,"RUA UACUMA","JD ARIZI"
QUA,TRADICIONAL,111,SABADO D'ANGELO,"RUA VIRGINIA FERNI","COHAB II"
QUA,TRADICIONAL,48,JARDIM ITAPEMIRIM,"RUA DIOGO JOSE MACHADO","JD ITAPEMIRIM"
QUA,TRADICIONAL,21,VILA BRASIL,"RUA CANDIDO DE GODOI","VL BRASIL"
QUA,TRADICIONAL,3,CIDADE LIDER,"RUA JERONIMO DE BARROS","CID LIDER"
QUA,TRADICIONAL,11,DOM BOSCO,"RUA ANTONIO GANDINE","ITAQUERA"
QUI,TRADICIONAL,97,ITAQUERA,"RUA BENTO VIEIRA CASTRO","ITAQUERA"
QUI,TRADICIONAL,59,JOSE BONIFACIO,"PC BOM PASTOR","ITAQUERA"
QUI,TRADICIONAL,44,VILA CAMPANELA,"RUA CAXIU","VL CAMPANELA"
QUI,TRADICIONAL,53,SANTA MARCELINA,"RUA PRAIA DE TORRES","VL CARMOSINA"
QUI,TRADICIONAL,13,VILA CARMOSINA,"RUA VENTUROSA","VL CARMOSINA"
QUI,TRADICIONAL,10,CARLOS ALBACINI,"RUA CARLOS ALBACINI","JOSE BONIFACIO"
SEX,TRADICIONAL,65,JARDIM SANTA HELENA,"RUA SANTA EDITH","JD STA HELENA"
SEX,TRADICIONAL,83,VILA MATILDE,"RUA PEDRO LUIZ DE SOUZA","JD BRASILIA"
SEX,TRADICIONAL,71,CARMOSINA,"RUA SAO FELIX DO PIAUI","VL CARMOSINA"
SEX,TRADICIONAL,87,ZONA LESTE,"RUA ANTONIO CRESPO","COHAB II"
SEX,TRADICIONAL,23,VILA RAMOS,"AV AUGUSTO ANTUNES","VL RAMOS"
SEX,TRADICIONAL,24,JARDIM HELIAN,"RUA MANOEL BACELAR","JARDIM HELIAN"
SAB,TRADICIONAL,98,CIDADE LIDER,"RUA FRANCISCO MUNHOZ FILHO","CID LIDER"
SAB,TRADICIONAL,80,XV DE NOVEMBRO,"RUA IBIAJARA","PARADA XV NOVEMBRO"
SÁB,TRADICIONAL,17,VILA MASTROCOLA,"RUA PROF BRITO MACHADO","VL MASTROCOLA"
SÁB,TRADICIONAL,111,CONJ RESIDENCIAL DE ITAQUERA,"RUA LAURA BOSSI C ALFREDO RICCI","ITAQUERA COHAB II"
SÁB,TRADICIONAL,12,JD.SANTA TEREZINHA,"RUA CAMPO DE VINHA","JD STA TEREZINHA"
SÁB,TRADICIONAL,16,PARQUE SAVOY CITY,"RUA DR CELSO PACHECO BETIM","PQ SAVOY CITY"
SÁB,TRADICIONAL,12,VILA VERDE,"RUA BARAO DE GODOFREDO","VL VERDE"
SÁB,TRADICIONAL,31,CONJUNTO HAB FAZENDA DO CARMO,"RUA PROF HASEGAWA","GUAIANAZES"
SÁB,TRADICIONAL,10,JARDIM ITAPEMIRIM,"RUA DR OLIVIO MONTENEGRO","JARDIM ITAPEMIRIM"
SÁB,TRADICIONAL,17,VILA CARMOSINA,"RUA LAGOA FEIΑ","VILA CARMOSINA"
SÁB,TRADICIONAL,0,ITAQUERA III,"RUA DAVID D FERREIRA","ITAQUERA"
DOM,TRADICIONAL,50,CIDADE VARGAS,"PC NOVA AMERICA","CID VARGAS"
DOM,TRADICIONAL,71,SAO JOSE,"RUA HUGO VITOR DA SILVA","AMERICANOPOLIS"
DOM,TRADICIONAL,113,SANTA CATARINA,"RUA ALBA C JOAQUIM MORAIS","STA CATARINA"
TER,TRADICIONAL,78,VILA GUARANI,"AV WALDOMIRO DE LIMA","VL GUARANI"
QUA,TRADICIONAL,12,NHANDIROBAS,"RUA GRUMIXAMAS","VL GUARANI"
QUA,TRADICIONAL,13,JABAQUARA,"AV ENG ARMANDO DE ARRUDA PEREI","JABAQUARA"
QUI,TRADICIONAL,68,SANTA CATARINA,"RUA FRANKLIN MAGALHAES","STA CATARINA"
QUI,TRADICIONAL,47,VILA FACCHINI,"RUA LUIZ CARLOS FACCHINI","VL FACCHINI"
QUI,TRADICIONAL,23,VILA CAMPESTRE,"RUA ROSALIA DE CASTRO","VL CAMPESTRE"
SEX,TRADICIONAL,12,AMERICANOPOLIS,"RUA DEODORO DE CAMPOS","JABAQUARA"
SEX,TRADICIONAL,24,CIDADE LEONOR,"RUA TEJUPA","JABAQUARA"
SAB,TRADICIONAL,79,APACE,"RUA APACE","JABAQUARA"
SAB,TRADICIONAL,121,VILA GUARANI,"AV DIEDERICHSEN","VL GUARANI"
DOM,TRADICIONAL,116,JACANA,"RUA BENJAMIM PEREIRA","JACANA"
DOM,TRADICIONAL,84,FURNAS,"AV ANTONELO DA MESSINA","VL ZILDA"
DOM,TRADICIONAL,17,PENAFORTE,"RUA PENAFORTE","JD PAULISTANA"
DOM,TRADICIONAL,5,CONJUNTO JOVA RURAL,"RUA ARI DA ROCHA MIRANDA","VL NOVA GALVAO"
DOM,TRADICIONAL,5,VILA ALBERTINA,"RUA MAESTRO BORTOLUCCI","VL ALBERTINA"
TER,TRADICIONAL,26,JARDIM TREMEMBE,"RUA TEREZA BORTOLO","JD TREMEMBE"
QUA,TRADICIONAL,80,VILA NILO,"RUA DR CARLOS BASTOS ARANHA","VL NILO"
QUA,TRADICIONAL,11,CASA DE PEDRA,"RUA CEL ESDRAS DE OLIVEIRA","JD TREMEMBE"
QUA,TRADICIONAL,17,TREMEMBE,"PC DONA MARIQUINHA SCIASCIA","TREMEMBE"
QUI,TRADICIONAL,91,EDU CHAVES,"RUA LILIENTAL","TUCURUVI"
QUI,TRADICIONAL,167,VILA MAZZΕΙ,"RUA MANOEL GAYA","VL MAZZEI"
QUI,TRADICIONAL,39,VILA ALBERTINA,"RUA ELIAS DE SOUZA PINTO","VL ALBERTINA"
SEX,TRADICIONAL,25,JARDIM JOAMAR,"RUA JOSINO VIEIRA GOES","JD JOAMAR"
SAB,TRADICIONAL,82,TREMEMBE,"RUA ALMEIDA MERCES","TREMEMBE"
SAB,TRADICIONAL,21,JARDIM FONTALIS,"RUA MANOEL PEREIRA ROSA","JD FONTALIS"
DOM,TRADICIONAL,63,LAPA,"RUA FABIA C AURELIA","VL ROMANA"
DOM,TRADICIONAL,35,SANTA EDWIGES,"RUA AGAMENON MAGALHAES","STA EDWIGES"
DOM,TRADICIONAL,27,CAIOVAS,"RUA DR COSTA JUNIOR C TANABI","AGUA BRANCA"
DOM,TRADICIONAL,38,VILA JAGUARA,"RUA PEDRO HENRIQUE DE O BRAGANCA","VL JAGUARA"
DOM,TRADICIONAL,35,CENTRO INDUSTRIAL DO JAGUARE,"RUA BARCELONA","JAGUARE"
DOM,ORGANICA,0,DONA ANA GERMAINE,"RUA DONA ANA GERMAINE BUCHARD","AGUA BRANCA"
TER,TRADICIONAL,80,ALTO DAS PERDIZES,"RUA MIN GODOΥ","PERDIZES"
TER,TRADICIONAL,21,VILA ROMΑΝΑ,"RUA SEPETIBA","VL ROMANA"
TER,TRADICIONAL,26,VILA ANASTACIO,"RUA BARTOLOMEU BUENO","VL ANASTACIO"
TER,TRADICIONAL,25,JAGUARE,"RUA ROLANDIA","JAGUARE"
TER,TRADICIONAL,17,VILA PIAUI,"RUA FLOR CACHOEIRA ES DO TEIXEIRA","VL PIAUI"
TER,TRADICIONAL,0,FEIRA LINDA,"RUA HIGINO PELLEGRINI","AGUA BRANCA"
TER,TRADICIONAL,18,DRONSFIELD,"RUA DRONSFIELD","LAPA"
QUA,TRADICIONAL,112,SUMAREZINHO,"RUA CAYOWAA","SUMAREZINHO"
QUA,TRADICIONAL,81,ALTO DE VILA POMPEIA,"RUA TAVARES BASTOS","VL POMPEIΑ"
QUA,TRADICIONAL,40,PIO XI,"RUA SALES JUNIOR","ALTO DA LAPA"
QUA,TRADICIONAL,16,VILA JAGUARA,"RUA CACHOEIRA DO SUL","VL JAGUARA"
QUA,TRADICIONAL,62,VILA HAMBURGUESA,"RUA LAURO MULLER","VL HAMBURGUESA"
QUA,TRADICIONAL,2,FILOMENA MATARAZZO,"RUA FILOMENA MATARAZZO","LAPA"
QUA,TRADICIONAL,0,ABRAHAO BEREZIN,"RUA PROFESSOR ABRAHAO BEREZIN","BARRA FUNDA"
QUI,TRADICIONAL,101,JOAO RAMALHO,"RUA AIMBERE C CAIUBI","PERDIZES"
QUI,TRADICIONAL,34,AGUA BRANCA,"RUA SILVEIRA RODRIGUES C/ MARIO","VL ROMANA"
QUI,TRADICIONAL,46,ALTO DA LAPA,"RUA DOM JOAO V C SACADURA CABRAL","ALTO DA LAPA"
QUI,TRADICIONAL,29,VILA LEOPOLDINA,"RUA ALIANCA LIBERAL","VL LEOPOLDINA"
QUI,TRADICIONAL,28,LAGEADO,"AV ARAICAS","JAGUARE"
QUI,TRADICIONAL,10,PRACA MELVIM JONES,"PCA MELVIM JONES","LAPA"
SEX,TRADICIONAL,6,VILA IPOJUCA,"RUA SALVADOR CARUSO","VL IPOJUCA"
SEX,TRADICIONAL,87,VILA POMPΡΕΙΑ,"RUA MIN FERREIRA ALVES C/ TUCUNA","VL POMPEIA"
SAB,TRADICIONAL,60,ALTO DE VILA POMPEIΑ,"RUA BARAO DO BANANAL C COARI","VL POMPEIA"
SAB,ÔRGANICA,0,DONA ANA GERMAINE,"RUA DONA ANA GERMAINE BUCHARD","AGUA BRANCA"
SAB,TRADICIONAL,11,CENTRAL PARK LAPA,"RUA DOM ROMEU ALBERTI","LAPA DE BΑΙΧΟ"
DOM,TRADICIONAL,70,CONCORDIA,"RUA CONSELHEIRO BELISARIO","BRAS"
DOM,TRADICIONAL,86,MOOCA MODERNA,"RUA DOS TRILHOS C BRESSER","BRESSER"
DOM,TRADICIONAL,48,TOLEDO BARBOSA,"RUA BELARMINO MATOS","QUARTA PARADA"
DOM,TRADICIONAL,84,MAE DO CEU,"RUA TUIUTI","TATUAPE"
DOM,TRADICIONAL,56,PIRASSUNUNGA,"RUA TEREZINA","ALTO DA MOOCA"
DOM,TRADICIONAL,94,VILA DIVA,"RUA BUENOPOLIS","VL DIVA"
TER,TRADICIONAL,38,SILVA TELLES,"RUA DR CARLOS GUIMARAES","BELEM"
TER,TRADICIONAL,72,MORAES BARROS,"RUA FIRMIANO PINTO","BRAZ"
TER,TRADICIONAL,10,PARQUE DA MOOCA,"RUA CONDE PRATES","PQ DA MOOCA"
TER,TRADICIONAL,33,FERNANDES FALCAO,"RUA PIRES DE CAMPOS","MOOCA"
TER,TRADICIONAL,78,AGUA RASA,"RUA DECIO ABRAMO","AGUA RASA"
TER,TRADICIONAL,83,TATUAPE,"RUA ANDRE VIDAL C/ ALM CALHEIROS","TATUAPE"
TER,TRADICIONAL,64,MARANHAO,"RUA MATEUS GOMES","TATUAPE"
TER,TRADICIONAL,101,VILA EMA,"RUA DR JOAO BIZARRO DA NAVE","VL EMA"
TER,TRADICIONAL,31,CACHOEIRA,"RUA CAP MOR PASSOS","PARI"
TER,NOTURNA,10,PRACA AGENTE CICERO,"PCA AGENTE CICERO","BRAS"
QUA,TRADICIONAL,100,CONCORDIA,"RUA SAMPSON C MENDES JUNIOR","BRAS"
QUA,TRADICIONAL,26,MOOCA MODERNA,"RUA DOS TRILHOS C BRESSER","MOOCA"
QUA,TRADICIONAL,66,CANINDE,"RUA VIDAL DE NEGREIROS","CANINDE"
QUA,TRADICIONAL,72,MOOCA,"RUA MADRE DE DEUS","MOOCA"
QUA,TRADICIONAL,55,UMUARAMA,"RUA MIN SALGADO FILHO","VL ORATORIO"
QUA,TRADICIONAL,26,PRACA DAS ROSAS,"RUA LUIZA CANERO","VL CANERO"
QUA,TRADICIONAL,47,RODRIGUES BARBOSA,"RUA SEBASTIAO BARBOSA","TATUAPE"
QUA,TRADICIONAL,18,PRACA LUZITANIA,"RUA AIRI","TATUAPE"
QUA,TRADICIONAL,25,VILA SAO CARLOS,"RUA ERNESTO GIULIANO","VL SAO CARLOS"
QUI,TRADICIONAL,37,PAULO ANDREGUETTI,"RUA SILVA TELES","BELENZINHO"
QUI,TRADICIONAL,125,BELEM,"RUA IRMA CAROLINA","BELENZINHO"
QUI,TRADICIONAL,56,TRILHOS,"RUA PROF MACHADO TOLOSA","BELENZINHO"
QUI,TRADICIONAL,41,VILA BERTIOGA,"RUA FLORIANOPOLIS","ALTO DA MOOCA"
QUI,TRADICIONAL,44,VILA PRUDENTE,"RUA DOMINGOS DA FONSECA","VL PRUDENTE"
QUI,TRADICIONAL,27,MAE DO CEU,"RUA VISCONDE DE ITABORAY","TATUAPE"
QUI,TRADICIONAL,16,VILA ORATORIO,"RUA SILVA COUTINHO","VL PRUDENTE"
QUI,TRADICIONAL,56,ANTONIO DE BARROS,"RUA PLATINA","TATUAPE"
SEX,TRADICIONAL,53,JULIO RIBEIRO,"RUA HENRIQUE DIAS","BRAZ"
SEX,TRADICIONAL,95,PANTOJO,"RUA BOM JESUS","ALTO DA MOOCA"
SEX,TRADICIONAL,92,MARIA CANDIDA,"RUA ANTONIO CAMARDO","TATUAPE"
SEX,TRADICIONAL,47,SAO JORGE,"RUA SANTA CATARINA","TATUAPE"
