Dia da Feira,Categoria,Qnt. Feirantes,Nome da Feira,Endereco,Bairro
QUI,TRADICIONAL,22,BARRO BRANCO,"RUA MARIO WILCHES","JD MARIA BORBA"
SAB,TRADICIONAL,15,VILA VARGEM GRANDE I,"RUA IPE ROXO","VILA VARGEM GRANDE"
SAB,TRADICIONAL,5,BALNEARIO SAO JOSE,"RUA UIRAPURU DO SERTAO","PARELHEIROS"
DOM,TRADICIONAL,8,VILA MORSE,"RUA ","VL SONIA"
DOM,TRADICIONAL,93,SAO DOMINGOS,"RUA JOSE JOAQUIM SEABRA","VL TIRADENTES"
DOM,TRADICIONAL,58,JARDIM ARPOADOR,"RUA ADERBAL STRESSER","JD ARPOADOR"
DOM,TRADICIONAL,0,REAL PARQUE,"RUA BARAO DE MONTE MOR","PAINEIRAS DO MORUM"
DOM,TRADICIONAL,17,CONJ RESIDENCIAL DO BUTANTA,"RUA LUIS ANTONIO MARTINS","BUTANTA"
DOM,TRADICIONAL,17,RAPOSO TAVARES,"RUA GABRIEL DE CARVALHO","JD BOA VISTA"
DOM,TRADICIONAL,20,VILA REGINA,"RUA EDWARD CARMILO","JD CELESTE"
DOM,TRADICIONAL,15,COHAB RAPOSO TAVARES,"RUA CACHOEIRA DO ARREPENDIMENTO","JD ARPOADOR"
TER,TRADICIONAL,46,CAXINGUI,"PC ROBERTO GOMES PEDROSA","ESTADIO DO MORUMB"
TER,TRADICIONAL,100,JARDIM BONFIGLIOLI,"AV OCTACILIO ΤΟΜΑΝΙΚ","RIO PEQUENO"
TER,TRADICIONAL,8,JARDIM PERI PERI,"RUA PLINIO SALGADO","BUTANTA"
TER,TRADICIONAL,28,JARDIM JOAO XXIII,"AV VATICANO","JD JOAO XXIII"
QUA,TRADICIONAL,29,BIBI,"PC ROBERTO GOMES PEDROSA","ITAIM BIBI"
QUA,TRADICIONAL,35,VILA INDIAΝΑ,"RUA IQUIRIRIM","VL INDIANA"
QUA,TRADICIONAL,34,VILA DALVA,"RUA JORGE WORD","VL DALVA"
QUA,TRADICIONAL,54,JARDIM CELESTE,"RUA EDWARD CARMILLO","JD CELESTE"
QUA,TRADICIONAL,15,JARDIM COLOMBO,"RUA SALOMAO WAIMBERG","JD BONFIGLIOLI"
QUI,TRADICIONAL,36,BUTANTA,"RUA AGOSTINHO CANTU C/ ROMAO GO","BUTAΝΤΑ"
QUI,TRADICIONAL,24,CARAMURU,"RUA PDE ALARICO ZACARIAS","VL MARIA LUIZA"
QUI,TRADICIONAL,52,JARDIM SAO JORGE,"RUA PROF JOAO DE LORENZO","JD SAO JORGE"
QUI,TRADICIONAL,23,JARDIM GUARAU,"RUA JERONIMO FERNANDES","JD GUARAU"
QUI,TRADICIONAL,23,FEIRAO DA ECONOMIA REAL PARQUE,"AV BARAO DE MONTE MOR","REAL PQ MORUMBI"
SEX,TRADICIONAL,64,VILA SONIA,"AV GAL FRANCISCO MORAZAN","VL SONIA"
SEX,TRADICIONAL,50,RIO PEQUENO,"AV PUJAIS SABATE","RIO PEQUENO"
SEX,TRADICIONAL,28,VILA BORGES,"RUA ORESTES COLOMBARI","VL BORGES"
SEX,TRADICIONAL,33,VILA GOMES,"RUA PEREIRA DO LAGO","VL GOMES"
SEX,TRADICIONAL,11,PORTAL DO MORUMBI,"RUA ISAAC ALBENIZ C/ FRANCO ALFANO","MORUMBI"
SAB,TRADICIONAL,11,CAXINGUI,"RUA LADISLAU ROMAN","CAXINGUI"
SAB,TRADICIONAL,0,JARDIM PINHEIROS,"RUA AUGUSTO FARINA","JD PINHEIROS"
SÁB,TRADICIONAL,98,MARIO MOURA ANDRADE,"AV CLAUDIO FRANCHI","BUTANTA"
SÁB,TRADICIONAL,32,AURIFLAMA,"RUA DR VIRGILIO ALVIN FRANCO","JD D ABRIL"
SÁB,TRADICIONAL,42,VILA BUTAΝΤΑ,"RUA JOSE ALVES DA CUNHA LIMA","RIO PEQUENO"
SÁB,TRADICIONAL,10,JARDIM AΝΤΟΝΙΑ,"RUA DR PAULO RIBEIRO COELHO","JD ANTONIA"
SÁB,TRADICIONAL,9,JARDIM RAPOSO TAVARES,"AV CAXINGUI","JD RAPOSO TAVARES"
SÁB,TRADICIONAL,20,JARDIM ADALGIZA,"AV GUSTAVO BERTHIER","VL DALVA"
DOM,TRADICIONAL,49,PARQUE ARARIBA,"RUA FRANCISCO SOARES","PQ REGINA"
DOM,TRADICIONAL,100,CAMPO LIMPO,"AV AMADEU DA SILVA SAMELLO","CAMPO LIMPO"
